"season","date_type","date","agecat_label","race_label","sex_label","state","data_type","estimate_type","rate_type","estimate"
"2019-20","Week Ending Date","2020-03-07","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",0.4
"2019-20","Week Ending Date","2020-03-14","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",2.1
"2019-20","Week Ending Date","2020-03-21","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",7.7
"2019-20","Week Ending Date","2020-03-28","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",13.4
"2019-20","Week Ending Date","2020-04-04","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",9.9
"2019-20","Week Ending Date","2020-04-11","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",7.7
"2019-20","Week Ending Date","2020-04-18","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",7.9
"2019-20","Week Ending Date","2020-04-25","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",6.7
"2019-20","Week Ending Date","2020-05-02","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",6.1
"2019-20","Week Ending Date","2020-05-09","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5.1
"2019-20","Week Ending Date","2020-05-16","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5.2
"2019-20","Week Ending Date","2020-05-23","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5
"2019-20","Week Ending Date","2020-05-30","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",4.4
"2019-20","Week Ending Date","2020-06-06","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",4.7
"2019-20","Week Ending Date","2020-06-13","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",4.9
"2019-20","Week Ending Date","2020-06-20","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",6.4
"2019-20","Week Ending Date","2020-06-27","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",10.6
"2019-20","Week Ending Date","2020-07-04","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",17.2
"2019-20","Week Ending Date","2020-07-11","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",21.8
"2019-20","Week Ending Date","2020-07-18","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",22
"2019-20","Week Ending Date","2020-07-25","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",17.3
"2019-20","Week Ending Date","2020-08-01","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",14
"2019-20","Week Ending Date","2020-08-08","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",13.2
"2019-20","Week Ending Date","2020-08-15","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",11.3
"2019-20","Week Ending Date","2020-08-22","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",10.1
"2019-20","Week Ending Date","2020-08-29","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",6.6
"2019-20","Week Ending Date","2020-09-05","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",6.8
"2019-20","Week Ending Date","2020-09-12","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5.9
"2019-20","Week Ending Date","2020-09-19","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5.3
"2019-20","Week Ending Date","2020-09-26","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",4.7
"2020-21","Week Ending Date","2020-10-03","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5.4
"2020-21","Week Ending Date","2020-10-10","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",5.8
"2020-21","Week Ending Date","2020-10-17","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",6.5
"2020-21","Week Ending Date","2020-10-24","All","All","All","GA","Weekly Rate","Rate per 100,000","Observed",7.3
