"State/Territory","Week_Ending_Date","Data_Collection_Period","State/Territory_WVAL","National_WVAL","Regional_WVAL","WVAL_Category","Coverage","date_updated"
"Arkansas","2025-12-27","1 Year",6.582722442215,4.43924569162059,3.26788149139289,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-03-12","All Results",0.279828716510515,1.03367372943772,1,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2024-07-06","All Results",8.38080055857763,6.33825033121338,6.22738298133858,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2024-02-17","All Results",7.58264294427863,7.79642517759633,6.32696286308383,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"New York","2022-01-08","All Results",34.2107693395958,29.2163726337873,31.1612503157544,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2023-12-30","All Results",12.078523238791,15.2325768746059,13.2758162047889,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2023-07-15","All Results",2.33778972158164,2.24016860873415,2.35741921693283,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-07-05","All Results",2.1842225670735,1.96385915156884,2.43832484846071,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-05-24","All Results",0.252659594922147,1.82178314717984,1.87026618230501,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-04-26","All Results",1.83238466635522,3.20416027510338,3.34908710400856,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2026-03-28","6 Months",1,1.69761822042482,1,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2022-10-15","All Results",1.19856730330013,3.59406931687893,2.67169818745922,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2022-01-22","All Results",58.6984396097874,18.9430681733053,28.3091891933778,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-04-23","All Results",3.79048658173405,2.9778606154381,3.11369042426792,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-06-07","1 Year",2.50270430115058,1.95057851119572,2.17459343847939,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2023-09-23","All Results",9.33307914731315,6.32904548538643,6.27269171611147,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-04-27","All Results",4.68315391147686,2.0451176503908,2.06273316467808,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
